session,method,gender,emotion,n_annotators,agreement,path,p_neu,p_fru,p_xxx,p_sur,p_ang,p_hap,p_sad,p_exc,p_oth,p_fea,p_dis
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,0.613844065933298,0.026524084259172843,0.002292162920780439,0.023242873803852974,0.0270906941249997,0.004043207505594224,0.003614787928542567,0.036427307779871215,0.044124199961127056,0.12000513602072366,0.09879147976203734
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F001.wav,0.0053050739737239465,0.6308539906421782,0.15234820983937417,0.03444589127640466,0.0649017338698031,0.01425620103615374,0.019379166787104895,0.03963728360480583,0.011167682261879062,0.015955683972298466,0.011749082736274001
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F002.wav,0.011786084045892058,0.054968057469883175,0.6815019688765539,0.00043225313226496933,0.0015889049776913941,0.043264322555746776,0.016442974614021662,0.010533992760438664,0.1150295474258064,0.0044504235242866265,0.06000147061741438
1,script,F,sur,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav,0.05652095407351396,0.05086830687116482,0.0017657714603763644,0.6776855666711699,0.0491776323127418,0.000490322458202083,0.00332435917739884,0.022925087445588983,0.02559569292243265,0.09847521499556774,0.013171091611842867
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,0.6947157186140347,0.006935857072777608,0.015815739038234775,0.0033706972905726343,0.02124246453395051,0.009115185029228595,0.07540773754328148,0.03943237494290026,0.09463207854491443,0.00649652163878203,0.032835625751322976
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F005.wav,0.022311076996565538,0.06231848827031277,0.6396129550298458,0.0028118168693369878,0.007965729596153666,0.07032803778102642,0.057161570682604225,0.005863755903960169,0.019365049425255708,0.11055184843182489,0.0017096710131137788
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,0.06377695328104435,0.006062452854359357,0.0422565359333931,0.02018314164511218,0.692671546395724,0.035790623422206055,0.0069606711972089175,0.03783568830138898,0.018572251466217424,0.050888898118328724,0.025001237385016886
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,0.08415639720781973,0.011651744284419816,0.06490910669987594,0.03468959799593687,0.6549444252421073,0.04576650014869112,0.061581124013625706,0.021623371889606374,0.00017043199420403114,0.01667285460857393,0.003834445915139257
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,0.6611988361483203,0.05661800827802357,0.058372521823508106,0.012836814874605007,0.014978429904540866,0.026438294940689618,0.006716896448949193,0.06273842751268878,0.038184363388228754,0.01523845124378282,0.04667895543666298
1,script,F,hap,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,0.04777191152347043,0.04470756190477495,0.006618308914983932,0.0550000517718616,0.008376979721113485,0.6709771867292749,0.04715256097686451,0.08523881863557176,0.01054158077757712,0.011127829726889544,0.012487209317617843
