session,method,gender,emotion,n_annotators,agreement,path,p_neu,p_fru,p_xxx,p_sur,p_ang,p_hap,p_sad,p_exc,p_oth,p_fea,p_dis,sessionId,utt_idx,topic
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F000.wav,0.0127199942361137,0.6466155845703653,0.0732895543347648,0.0029747818671623,0.0104176004611593,0.1087292893145152,0.036644830800802,0.0654277486151845,0.0030009249525256,0.0294498095296594,0.0107298813177475,F01-session-1,0,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F001.wav,0.0093134115232427,0.0037424376882993,0.6791523203777355,0.005965670369846,0.0593295899728316,0.0036758153533478,0.0816091412789062,0.0882210354555622,0.0179041624939004,0.0375732927865389,0.013513122699789,F01-session-1,1,family
1,script,F,sur,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F002.wav,0.0094709140555037,0.0176886084556486,0.0382449747517559,0.67018507215622,0.0861205053769482,0.0243032429211762,0.0305247477865917,0.0124781890913254,0.0043211239011221,0.0566552331834446,0.0500073883202631,F01-session-1,2,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F003.wav,0.081737156395608,0.0055626274566793,0.6641227826891559,0.057442104027447,0.011860941680681,0.0663912625462978,0.0059640350149381,0.0330570993634019,0.0315808098922377,0.0290222353141979,0.0132589456193549,F01-session-1,3,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F004.wav,0.0449582671587196,0.0016324552570171,0.6008804708605533,0.0055950833867256,0.01361613670025,0.0339907421610428,0.0018367429042889,0.0893416491067039,0.1924382780168123,0.000288197264399,0.015421977183487,F01-session-1,4,family
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F005.wav,0.6490516445047951,0.0039094938457722,0.0833117152094381,0.1342725074703087,0.0070353030911604,0.0236040755390025,0.0329713842432679,0.002507682149724,0.0399042782133302,0.0225331486205225,0.0008987671126778,F01-session-1,5,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F006.wav,0.0599760419842917,0.0146167704453254,0.637859583174154,0.0041468384579605,0.0071280301271482,0.0575188075468734,0.0618514778637647,0.0160856598338201,0.1262147068435172,0.0120081352698016,0.0025939484533427,F01-session-1,6,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F007.wav,0.014055741191156,0.0345797771109653,0.6919262141193873,0.0193643869101212,0.0295565764730594,0.0889443503186095,0.0035055007437963,0.0083057516013539,0.0005083558987345,0.0470080762117896,0.0622452694210266,F01-session-1,7,family
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F008.wav,0.0078656236590727,0.0133734221512367,0.604480384989748,0.0035734203697901,0.0394395792833656,0.0225969734770559,0.0388967020162434,0.0155818353434648,0.0685424183079699,0.1832637024406626,0.0023859379613898,F01-session-1,8,self-esteem
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F009.wav,0.033221743808544,0.6393136580352192,0.0317133908551448,0.0562864003310402,0.0702633849494826,0.0133194071000942,0.0143992597912786,0.0996278217817365,0.0138721853333302,0.0051189381667487,0.0228638098473806,F01-session-1,9,self-esteem
